"Reference","Qty","Value","Tolerance","Rating","DNP","Footprint","Mfg","Mfg PN","JLCPCB"
"C1,C2,C7,C8,C9,C10,C11,C14,C15,C16,C17,C19,C21,C24,C25,C27,C29,C30,C34,C42,C56,C58,C59,C70","24","100n","10%","16V","","PCM_JLCPCB:C_0402","Samsung Electro-Mechanics","CL05B104KO5NNNC","C1525"
"C3,C5,C28,C33","4","15p","5%","50V","","PCM_JLCPCB:C_0402","FH (Guangdong Fenghua Advanced Tech)"," 0402CG150J500NT","C1548"
"C4,C13,C20,C67","4","10u","10%","10V","","PCM_JLCPCB:C_0603","Samsung Electro-Mechanics","CL10A106KP8NNNC","C19702"
"C6","1","2.2n","10%","50V","","PCM_JLCPCB:C_0402","FH (Guangdong Fenghua Advanced Tech)","0402B222K500NT","C1531"
"C12,C18,C26,C36,C39,C43,C44,C49,C51,C52","10","4u7","20%","10V","","PCM_JLCPCB:C_0402","Samsung Electro-Mechanics","CL05A475MP5NRNC","C23733"
"C22,C23,C31,C32","4","1u","10%","25V","","PCM_JLCPCB:C_0402","Samsung Electro-Mechanics","CL05A105KA5NQNC","C52923"
"C35,C40,C41","3","100n","10%","16V","DNP","PCM_JLCPCB:C_0402","Samsung Electro-Mechanics","CL05B104KO5NNNC","C1525"
"C37,C45,C69","3","100u","20%","6.3V","","PCM_JLCPCB:C_1206","Samsung Electro-Mechanics","CL31A107MQHNNNE","C15008"
"C38,C53,C61,C65,C68","5","47u","20%","6.3V","","PCM_JLCPCB:C_0805","Samsung Electro-Mechanics","CL21A476MQYNNNE","C16780"
"C46,C47,C48,C50,C54,C55,C57,C60,C62,C63,C64,C66","12","470n","10%","10V","","PCM_JLCPCB:C_0402","Samsung Electro-Mechanics","CL05A474KP5NNNC","C47339"
"D1,D2,D3","3","Red LED","","","","LED_SMD:LED_0603_1608Metric","Hubei KENTO Elec","KT-0603R","C2286"
"J1,J2","2","Conn_01x04","","","DNP","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","","-"
"J3,J5","2","USB_C_Receptacle","","","","Connector_USB:USB_C_Receptacle_Molex_105450-0101","MOLEX","1054500101","C134092"
"J4","1","HDMI_A","","","","Connector_Video:HDMI_A_Molex_208658-1001_Horizontal","XUNPU","HDMI-001S","C720616"
"J6","1","Conn_02x07_Odd_Even","","","DNP","Connector_PinHeader_2.00mm:PinHeader_2x07_P2.00mm_Vertical_SMD","","",""
"L1,L2,L3","3","2u2","","","","Inductor_SMD:L_Taiyo-Yuden_MD-3030","Murata Electronics","LQH3NPN2R2MJRL","C341775"
"R1,R5,R15,R23,R26,R27,R64,R66,R76,R80","10","0","1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF0000TCE","C17168"
"R2,R4,R19,R20,R22","5","2.2K","1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF2201TCE","C25879"
"R3,R7,R9,R13,R14,R16,R24,R25","8","49.9","1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF499JTCE","C25120"
"R6,R78","2","10K","1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","C25744"
"R8,R12,R21","3","1K","1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF1001TCE","C11702"
"R10,R34","2","33K","1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF3302TCE","C25779"
"R11,R31,R32,R94","4","22K","1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF2202TCE","C25768"
"R17,R33,R35,R36,R37,R100,R101,R102","8","100K","1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","C25741"
"R18,R74,R93","3","200K","1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF2003TCE","C25764"
"R28,R98","2","5.1K","1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF5101TCE","C25905"
"R29,R30","2","22","1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF220JTCE","C25092"
"R38,R39,R40,R41,R51,R58,R62,R72,R81,R83,R89,R90,R91,R92","14","7.5K","0.1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","TC0225B7501TCC","C28566374"
"R42,R45,R46,R47,R48,R50,R53,R59,R63,R75,R79,R82,R84,R85,R86,R87,R88,R97","18","15K","0.1%","62.5mW","","PCM_JLCPCB:R_0402","FH (Guangdong Fenghua Advanced Tech)","TC02G1502BT","C20627044"
"R43,R44,R49,R67,R68,R69,R70,R77,R96","9","4.7K","1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF4701TCE","C25900"
"R52,R65","2","75","1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF750JTCE","C25133"
"R54,R55","2","4.7K","1%","62.5mW","DNP","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF4701TCE","C25900"
"R56,R57","2","75","1%","62.5mW","DNP","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF750JTCE","C25133"
"R60,R71","2","8.2K","1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF8201TCE","C25924"
"R61,R73","2","18K","1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF1802TCE","C25762"
"R95","1","330","1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","C25104"
"R99","1","12K","1%","62.5mW","","PCM_JLCPCB:R_0402","UNI-ROYAL(Uniroyal Elec)","0402WGF1202TCE","C25752"
"SW1","1","SW_Push","","","","Button_Switch_SMD:SW_SPST_TS-1088-xR025","XUNPU","TS-1088-AR02016","C720477"
"U1","1","AK09918C","","","DNP","Package_BGA:WLP-4_0.83x0.83mm_P0.4mm","Asahi Kasei Microdevices","AK09918C","C2655004"
