Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C34,100n,C_0402,82.4,-41.3,-90,bottom
C35,100n,C_0402,85.6,-41.4,0,bottom
C36,4u7,C_0402,69.1,-44.9,0,bottom
C37,100u,C_1206,48.9,-45.2,0,bottom
C38,47u,C_0805,71.05,-46,90,bottom
C39,4u7,C_0402,66.1,-46,0,bottom
C40,100n,C_0402,89.055,-46.145,90,bottom
C41,100n,C_0402,83.655,-46.145,-90,bottom
C42,100n,C_0402,80.75,-46.4,180,bottom
C43,4u7,C_0402,73.1,-47,180,bottom
C44,4u7,C_0402,63.1,-47,0,bottom
C45,100u,C_1206,67.2,-47.6,0,bottom
C46,470n,C_0402,73.1,-48,180,bottom
C47,470n,C_0402,63.1,-48,0,bottom
C48,470n,C_0402,69.9,-48.6,-90,bottom
C49,4u7,C_0402,70.701414,-49.58,-90,bottom
C50,470n,C_0402,66,-49.9,0,bottom
C51,4u7,C_0402,73.1,-50,180,bottom
C52,4u7,C_0402,63.1,-50,0,bottom
C53,47u,C_0805,68.6,-50.5,180,bottom
C54,470n,C_0402,73.1,-51,180,bottom
C55,470n,C_0402,63.1,-51,0,bottom
C56,100n,C_0402,80.7,-51.2,180,bottom
C57,470n,C_0402,70.7,-51.5,-90,bottom
C58,100n,C_0402,53.3,-51.5,90,bottom
C59,100n,C_0402,47.9,-51.5,-90,bottom
C60,470n,C_0402,69.1,-52.1,180,bottom
C61,47u,C_0805,63.7,-52.6,0,bottom
C62,470n,C_0402,73.1,-53,180,bottom
C63,470n,C_0402,73.1,-54,180,bottom
C64,470n,C_0402,63.1,-54,0,bottom
C65,47u,C_0805,67.6,-54.5,0,bottom
C66,470n,C_0402,63.1,-55,0,bottom
C67,10u,C_0603,88.3,-56.5,90,bottom
C68,47u,C_0805,95,-61.55,-90,bottom
C69,100u,C_1206,92.8,-62.08,-90,bottom
C70,100n,C_0402,90.7,-68.4,180,bottom
J6,Conn_02x07_Odd_Even,PinHeader_2x07_P2.00mm_Vertical_SMD,57.515,-58.8,180,bottom
R38,7.5K,R_0402,74.8,-40.8,0,bottom
R39,7.5K,R_0402,73,-40.8,0,bottom
R40,7.5K,R_0402,71.199293,-40.8,0,bottom
R41,7.5K,R_0402,69.399293,-40.8,0,bottom
R42,15K,R_0402,67.6,-40.8,180,bottom
R43,4.7K,R_0402,79.9,-40.8,180,bottom
R44,4.7K,R_0402,81.2,-41.3,-90,bottom
R45,15K,R_0402,74.1,-42.1,90,bottom
R46,15K,R_0402,72.499293,-42.1,90,bottom
R47,15K,R_0402,71.700707,-42.1,90,bottom
R48,15K,R_0402,69.899,-42.1,90,bottom
R49,4.7K,R_0402,80.4,-42.1,-90,bottom
R50,15K,R_0402,75.6,-42.7,90,bottom
R51,7.5K,R_0402,76.4,-42.9,-90,bottom
R52,75,R_0402,82.8,-43.9,0,bottom
R53,15K,R_0402,75.1,-44,0,bottom
R54,4.7K,R_0402,87.3,-44.3,180,bottom
R55,4.7K,R_0402,85.5,-44.3,0,bottom
R56,75,R_0402,94.6,-44.4,0,bottom
R57,75,R_0402,89.5,-44.4,0,bottom
R58,7.5K,R_0402,76.4,-44.7,-90,bottom
R59,15K,R_0402,75.1,-45,0,bottom
R60,8.2K,R_0402,78.2,-45.1,90,bottom
R61,18K,R_0402,78.2,-46.5,180,bottom
R62,7.5K,R_0402,76.4,-46.5,-90,bottom
R63,15K,R_0402,75.1,-47,0,bottom
R64,0,R_0402,75.9,-47.8,0,bottom
R65,75,R_0402,82.8,-48.7,0,bottom
R66,0,R_0402,75.9,-49.8,0,bottom
R67,4.7K,R_0402,51.5,-49.8,180,bottom
R68,4.7K,R_0402,49.7,-49.8,0,bottom
R69,4.7K,R_0402,88.7,-49.9,0,bottom
R70,4.7K,R_0402,85.8,-49.9,180,bottom
R71,8.2K,R_0402,78.2,-49.9,90,bottom
R72,7.5K,R_0402,76.4,-51.1,90,bottom
R73,18K,R_0402,78.7,-51.3,180,bottom
R74,200K,R_0402,45.35,-51.3,0,bottom
R75,15K,R_0402,75.6,-51.5,90,bottom
R76,0,R_0402,78.7,-52.1,0,bottom
R77,4.7K,R_0402,67.4,-52.6,-90,bottom
R78,10K,R_0402,82.3,-52.8,0,bottom
R79,15K,R_0402,75.1,-52.8,0,bottom
R80,0,R_0402,78.7,-52.9,0,bottom
